fold,accuracy,precision,recall,f1,auc,tn,fp,fn,tp
1,0.956989247311828,0.9210526315789473,0.9722222222222222,0.9459459459459458,0.9980506822612085,54,3,1,35
2,0.9891304347826086,0.972972972972973,1.0,0.9863013698630138,1.0,55,1,0,36
3,0.9782608695652174,0.9473684210526315,1.0,0.972972972972973,1.0,54,2,0,36
4,1.0,1.0,1.0,1.0,1.0,56,0,0,36
5,0.9782608695652174,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9995039682539683,55,1,1,35
6,0.9891304347826086,0.972972972972973,1.0,0.9863013698630138,0.9999999999999999,55,1,0,36
7,0.9891304347826086,1.0,0.9722222222222222,0.9859154929577464,1.0,56,0,1,35
8,0.967391304347826,0.9230769230769231,1.0,0.9600000000000001,1.0,53,3,0,36
9,0.9891304347826086,0.9722222222222222,1.0,0.9859154929577464,1.0,56,1,0,35
10,0.9891304347826086,0.9722222222222222,1.0,0.9859154929577464,1.0,56,1,0,35
