model,fold,accuracy,auc_roc,precision,recall,f1_score
Logistic Regression,1,0.9032258064516129,0.9807692307692307,0.9130434782608695,0.75,0.8235294117647057
Logistic Regression,2,0.8387096774193549,0.9247252747252748,0.7241379310344828,0.75,0.736842105263158
Logistic Regression,3,0.8804347826086957,0.9559151785714286,0.7575757575757576,0.8928571428571429,0.819672131147541
Logistic Regression,4,0.8695652173913043,0.9174107142857143,0.8076923076923077,0.75,0.7777777777777779
Logistic Regression,5,0.9239130434782609,0.9614955357142857,0.92,0.8214285714285714,0.8679245283018867
Logistic Regression,6,0.8913043478260869,0.9514508928571429,0.8461538461538461,0.7857142857142857,0.8148148148148148
Logistic Regression,7,0.8804347826086957,0.9620535714285714,0.7575757575757576,0.8928571428571429,0.819672131147541
Logistic Regression,8,0.8804347826086957,0.9475783475783476,0.7666666666666667,0.8518518518518519,0.8070175438596491
Logistic Regression,9,0.8913043478260869,0.9527065527065527,0.7931034482758621,0.8518518518518519,0.8214285714285715
Logistic Regression,10,0.8913043478260869,0.9703703703703703,0.7931034482758621,0.8518518518518519,0.8214285714285715
Random Forest,1,0.9032258064516129,0.9664835164835165,0.8518518518518519,0.8214285714285714,0.8363636363636364
Random Forest,2,0.8279569892473119,0.9142857142857144,0.6875,0.7857142857142857,0.7333333333333334
Random Forest,3,0.9021739130434783,0.9832589285714286,0.8064516129032258,0.8928571428571429,0.8474576271186439
Random Forest,4,0.9021739130434783,0.9743303571428571,0.8518518518518519,0.8214285714285714,0.8363636363636364
Random Forest,5,0.8804347826086957,0.9665178571428572,0.8695652173913043,0.7142857142857143,0.7843137254901961
Random Forest,6,0.9239130434782609,0.9787946428571428,0.9565217391304348,0.7857142857142857,0.8627450980392156
Random Forest,7,0.8804347826086957,0.9626116071428571,0.7741935483870968,0.8571428571428571,0.8135593220338982
Random Forest,8,0.9021739130434783,0.9692307692307693,0.8214285714285714,0.8518518518518519,0.8363636363636364
Random Forest,9,0.9130434782608695,0.9754985754985754,0.8518518518518519,0.8518518518518519,0.8518518518518519
Random Forest,10,0.9130434782608695,0.9766381766381768,0.8064516129032258,0.9259259259259259,0.8620689655172414
SVM,1,0.9354838709677419,0.976923076923077,0.9230769230769231,0.8571428571428571,0.888888888888889
SVM,2,0.8494623655913979,0.8862637362637362,0.7333333333333333,0.7857142857142857,0.7586206896551724
SVM,3,0.8586956521739131,0.9514508928571429,0.7142857142857143,0.8928571428571429,0.7936507936507937
SVM,4,0.8804347826086957,0.9447544642857143,0.84,0.75,0.7924528301886793
SVM,5,0.8804347826086957,0.9614955357142857,0.84,0.75,0.7924528301886793
SVM,6,0.9130434782608695,0.9068080357142858,0.9545454545454546,0.75,0.84
SVM,7,0.8043478260869565,0.9319196428571428,0.6666666666666666,0.7142857142857143,0.689655172413793
SVM,8,0.8695652173913043,0.954985754985755,0.7586206896551724,0.8148148148148148,0.7857142857142857
SVM,9,0.8913043478260869,0.9646723646723647,0.7931034482758621,0.8518518518518519,0.8214285714285715
SVM,10,0.8913043478260869,0.9515669515669516,0.8148148148148148,0.8148148148148148,0.8148148148148148
XGBoost,1,0.8817204301075269,0.9637362637362638,0.84,0.75,0.7924528301886793
XGBoost,2,0.8279569892473119,0.9219780219780219,0.7,0.75,0.7241379310344827
XGBoost,3,0.9239130434782609,0.9827008928571429,0.8620689655172413,0.8928571428571429,0.8771929824561403
XGBoost,4,0.9130434782608695,0.9598214285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571
XGBoost,5,0.8804347826086957,0.9715401785714286,0.9473684210526315,0.6428571428571429,0.7659574468085106
XGBoost,6,0.9130434782608695,0.9832589285714286,0.9166666666666666,0.7857142857142857,0.8461538461538461
XGBoost,7,0.8586956521739131,0.9642857142857143,0.7419354838709677,0.8214285714285714,0.7796610169491526
XGBoost,8,0.8695652173913043,0.962962962962963,0.7586206896551724,0.8148148148148148,0.7857142857142857
XGBoost,9,0.9130434782608695,0.9777777777777777,0.8518518518518519,0.8518518518518519,0.8518518518518519
XGBoost,10,0.9456521739130435,0.9846153846153846,0.8928571428571429,0.9259259259259259,0.9090909090909091
CatBoost,1,0.9354838709677419,0.9892857142857143,0.8928571428571429,0.8928571428571429,0.8928571428571429
CatBoost,2,0.8279569892473119,0.9346153846153846,0.6764705882352942,0.8214285714285714,0.7419354838709677
CatBoost,3,0.9130434782608695,0.9854910714285715,0.8125,0.9285714285714286,0.8666666666666666
CatBoost,4,0.8804347826086957,0.9631696428571428,0.7931034482758621,0.8214285714285714,0.8070175438596492
CatBoost,5,0.8695652173913043,0.96875,0.8333333333333334,0.7142857142857143,0.7692307692307692
CatBoost,6,0.9021739130434783,0.9793526785714286,0.88,0.7857142857142857,0.830188679245283
CatBoost,7,0.8804347826086957,0.9676339285714286,0.7931034482758621,0.8214285714285714,0.8070175438596492
CatBoost,8,0.9021739130434783,0.9663817663817664,0.8214285714285714,0.8518518518518519,0.8363636363636364
CatBoost,9,0.8913043478260869,0.9754985754985754,0.7931034482758621,0.8518518518518519,0.8214285714285715
CatBoost,10,0.8913043478260869,0.9709401709401709,0.7931034482758621,0.8518518518518519,0.8214285714285715
